xh_initial,qh_initial
-0.053603192,-0.063883359
-0.0009602,0.005379371
0.0199504,0.016362845
-0.010856804,-0.009488247
-0.003604515,-0.004635066
-0.005642633,-0.000496709
-0.020047289,-0.025096285
-0.003558089,-0.003122212
-0.012039324,-0.01444551
0.002385574,0.007523186
-0.015619295,-0.009848729
0.005610293,0.0
-0.045952595,-0.035431023
-0.020736245,-0.023522275
0.007557838,0.007040309
-0.020085857,-0.039890336
0.006191044,0.012350086
0.02439535,0.020590932
-0.006543328,-0.011055068
-0.05345151,-0.050164186
0.020860347,0.0336153
-0.003312465,-0.009109024
-0.013087536,-0.007756392
0.01568954,0.013679792
0.037807129,0.036058551
-0.020717112,-0.030599586
0.0,0.009384331
0.016361401,0.021763629
-0.003384639,-0.012476735
-0.027028734,-0.025547955
-0.010493066,-0.010744986
0.004872165,0.005213613
-0.007778701,-0.010229074
0.003037192,0.004730713
-0.01773436,-0.019847881
0.001342869,0.006725297
0.03067046,0.023638232
-0.011541517,-0.006884682
0.003218158,-0.001372039
-0.005850221,-0.001156989
-0.016975787,-0.016071816
0.031337045,0.031859319
0.001100458,-0.002567028
-0.009059819,-0.011581355
-0.000362516,0.002097497
-0.00769175,-0.006207145
-0.007130092,-0.004430242
-0.045922011,-0.051502772
-0.011168895,-0.008229503
-0.014435813,-0.013105855
0.003178851,0.000314317
-0.008464544,-0.006048704
0.019998806,0.013435549
0.006859417,0.001481713
-0.001767113,0.000233608
0.027632846,0.031529778
0.011000718,0.004
-0.015555522,-0.013004585
0.00721934,0.007996954
-0.016991947,-0.013675859
0.002917363,0.003753639
0.025358067,0.029382584
0.022005838,0.017941874
0.002126573,-0.000582666
0.012361092,0.014575135
0.00423904,-0.000287315
0.006433758,0.004742061
-0.005453478,-0.006721968
0.024322894,0.03938085
0.004979537,-0.003671123
-0.003172364,-0.001877086
0.016877843,0.019154419
-0.017584934,-0.023783488
0.003649724,0.005950714
-0.008899921,-0.009534414
0.016426795,0.025857223
0.007102283,-0.00239726
-0.029332749,-0.026089942
0.006202694,0.000845964
-0.011865792,-0.004437557
0.013904324,0.009975945
0.023298489,0.025429072
0.006916306,0.006626588
-0.001675566,0.005157788
0.006141569,0.006549186
-0.019310415,-0.020056346
-0.000738356,-0.005544527
0.005400198,0.002890969
-0.023631187,-0.019766644
0.002486792,0.003290856
0.002975345,0.00237281
0.019744138,0.020051521
-0.004054875,-0.006757218
-0.006596192,-0.006940627
0.012950583,0.013493876
-0.000403917,0.001297283
0.018793169,0.020184112
0.002695717,0.00147049
-0.000717372,-0.000467196
-0.018285994,-0.015892094
0.002081013,-0.002374813
0.010151575,0.009113786
0.000908072,-0.000202197
-0.017477175,-0.015774572
-0.019016954,-0.014452055
0.001252716,0.000347488
-0.004033033,-0.002014728
0.002684371,-0.000556909
0.016640536,0.011353347
-0.00830284,-0.004338843
-0.002117387,0.000968389
0.02113531,0.020454703
0.037014958,0.034130155
0.029127234,0.02730666
0.01271346,0.005418154
