month,ID,country,debt_inf,debt_out,eq_inf,eq_out,fdi_inf,fdi_out,other_inf,other_out,port_inf,port_out,中文名称,iso2,GPRC,GPRHC
1995-02-01T00:00:00Z,IND,India,,,,,,,,,,,印度,IN,0.183823525905609,0.213915780186653
1995-02-01T00:00:00Z,ITA,Italy,,,,,0.2756553,-0.0163631,,,,,意大利,IT,0.107896417379379,0.067552350461483
1995-02-01T00:00:00Z,JPN,Japan,,,,,,,,,,,日本,JP,0.167838871479034,0.101328529417515
1995-02-01T00:00:00Z,MEX,Mexico,,,,,,,,,,,墨西哥,MX,0.287723779678345,0.315244317054749
1995-02-01T00:00:00Z,MYS,Malaysia,,,,,,,,,,,马来西亚,MY,0.0199808180332184,0.0225174501538277
1995-02-01T00:00:00Z,NLD,Netherlands,,,,,,,,,,,荷兰,NL,0.0399616360664368,0.0450349003076553
1995-02-01T00:00:00Z,PHL,Philippines,,,,,,,,,,,菲律宾,PH,0.0399616360664368,0.0112587250769138
1995-02-01T00:00:00Z,POL,Poland,,,,,,,,,,,波兰,PL,0.0639386177062988,0.0788110792636871
1995-02-01T00:00:00Z,PRT,Portugal,,,,,,,,,,,葡萄牙,PT,0.0159846544265747,0.0112587250769138
1995-02-01T00:00:00Z,SWE,Sweden,,,,,,,,,,,瑞典,SE,0.0239769816398621,0.0337761752307415
1995-02-01T00:00:00Z,THA,Thailand,,,,,,,,,,,泰国,TH,0.0719309449195862,0.0450349003076553
1995-02-01T00:00:00Z,TUR,Türkiye,-0.089,,0.034,,0.053,0,0.762,-0.432,-0.055,0.078,土耳其,TR,0.0559462904930115,0.0450349003076553
1995-02-01T00:00:00Z,UKR,Ukraine,,,,,,,,,,,乌克兰,UA,0.0439577996730804,0.0562936291098595
1995-02-01T00:00:00Z,ZAF,South Africa,-0.200465871391261,,0.0649396484788593,,,,,,-0.135526214599609,,南非,ZA,0.0359654724597931,0.0112587250769138
1995-03-01T00:00:00Z,BEL,Belgium,,,,,,,,,,,比利时,BE,0.123517788946629,0.0985512956976891
1995-03-01T00:00:00Z,BRA,Brazil,-1.156425,0.096446427,-1.268265,0.115121573,-0.024147,0.06469,0.63707,-0.058487963,-2.42468994140625,0.211567993164063,巴西,BR,0.00705815944820643,0
1995-03-01T00:00:00Z,CAN,Canada,5.37,-0.37,-0.62,0.399,,,,,4.75,0.029,加拿大,CA,0.183512136340141,0.0591307766735554
1995-03-01T00:00:00Z,CHL,Chile,,,,,,,,,,,智利,CL,0.0176453981548548,0.0394205190241337
1995-03-01T00:00:00Z,CHN,China,,,,,,,,,,,中国,CN,0.134105026721954,0.167537197470665
1995-03-01T00:00:00Z,COL,Colombia,,,,,,,,,,,哥伦比亚,CO,0.0317617170512676,0.0295653883367777
1995-03-01T00:00:00Z,DEU,Germany,6.8410174,0.79026,-3.4784611,-1.4303706,-0.4254233,3.0583062,8.8206187,6.4722294,3.36255639648438,-0.640110595703125,德国,DE,0.448193103075027,0.394205182790756
1995-03-01T00:00:00Z,DNK,Denmark,,,,,,,,,,,丹麦,DK,0.0529361926019192,0.0492756478488445
1995-03-01T00:00:00Z,ESP,Spain,,,,,0.4925954,0.4491311,0.7744548,4.9878577,-0.0711234,-0.3964471,西班牙,ES,0.127046868205071,0.0492756478488445
1995-03-01T00:00:00Z,FIN,Finland,,,,,,,,,,,芬兰,FI,0.0141163188964129,0.00985512975603342
1995-03-01T00:00:00Z,FRA,France,,,,,,,,,,,法国,FR,0.430547714233398,0.492756485939026
1995-03-01T00:00:00Z,HUN,Hungary,,,,,,,,,,,匈牙利,HU,0.0282326377928257,0.00985512975603342
1995-03-01T00:00:00Z,IDN,Indonesia,,,,,,,,,,,印度尼西亚,ID,0.0141163188964129,0.0197102595120668
1995-03-01T00:00:00Z,IND,India,,,,,,,,,,,印度,IN,0.074110671877861,0.0689859092235565
1995-03-01T00:00:00Z,ITA,Italy,,,,,1.0510458,0.421472,,,,,意大利,IT,0.119988709688187,0.118261553347111
1995-03-01T00:00:00Z,JPN,Japan,,,,,,,,,,,日本,JP,0.321146249771118,0.33507439494133
1995-03-01T00:00:00Z,MEX,Mexico,,,,,,,,,,,墨西哥,MX,0.116459630429745,0.0985512956976891
1995-03-01T00:00:00Z,MYS,Malaysia,,,,,,,,,,,马来西亚,MY,0.0105872387066484,0
1995-03-01T00:00:00Z,NLD,Netherlands,,,,,,,,,,,荷兰,NL,0.102343305945396,0.0788410380482674
1995-03-01T00:00:00Z,PHL,Philippines,,,,,,,,,,,菲律宾,PH,0.0317617170512676,0.00985512975603342
1995-03-01T00:00:00Z,POL,Poland,,,,,,,,,,,波兰,PL,0.0423489548265934,0.0492756478488445
1995-03-01T00:00:00Z,PRT,Portugal,,,,,,,,,,,葡萄牙,PT,0.0176453981548548,0.00985512975603342
1995-03-01T00:00:00Z,SWE,Sweden,,,,,,,,,,,瑞典,SE,0.0282326377928257,0.0295653883367777
1995-03-01T00:00:00Z,THA,Thailand,,,,,,,,,,,泰国,TH,0.0176453981548548,0.0197102595120668
1995-03-01T00:00:00Z,TUR,Türkiye,-0.435,,-0.015,,0.074,0.021,0.235,-1.391,-0.45,0.161,土耳其,TR,0.187041223049164,0.187247455120087
1995-03-01T00:00:00Z,UKR,Ukraine,,,,,,,,,,,乌克兰,UA,0.0388198755681515,0.0197102595120668
1995-03-01T00:00:00Z,ZAF,South Africa,0.207045091363857,,0.10894184673105,,,,,,0.315986938476563,,南非,ZA,0.0494071133434773,0.0689859092235565
1995-04-01T00:00:00Z,BEL,Belgium,,,,,,,,,,,比利时,BE,0.0921659022569656,0.0682660415768623
1995-04-01T00:00:00Z,BRA,Brazil,0.017799,0.247582459,0.174632,0.002381541,0.167925,0.003608,0.242757,-0.082645968,0.192430999755859,0.249964004516602,巴西,BR,0.0184331797063351,0.0292568746954203
1995-04-01T00:00:00Z,CAN,Canada,6.77,-1.326,-0.083,0.411,,,,,6.687,-0.915,加拿大,CA,0.188018426299095,0.0682660415768623
1995-04-01T00:00:00Z,CHL,Chile,,,,,,,,,,,智利,CL,0.00737327197566629,0.0097522921860218
1995-04-01T00:00:00Z,CHN,China,,,,,,,,,,,中国,CN,0.213824883103371,0.253559589385986
1995-04-01T00:00:00Z,COL,Colombia,,,,,,,,,,,哥伦比亚,CO,0.00368663598783314,0.0097522921860218
1995-04-01T00:00:00Z,DEU,Germany,4.2629692,2.0335624,-0.1301158,0.5285116,0.449369,4.5621014,9.8163652,7.974623,4.132853515625,2.56207397460938,德国,DE,0.309677422046661,0.302321046590805
