date,Debt,Equity,Total,country1,name,iso3
2002-04-01,156.5891499999999,1001.8235500000001,1158.4126999999999,Brazil,Brazil,BRA
2002-08-01,-575.87348,-317.04015999999996,-892.91364,Brazil,Brazil,BRA
2002-12-01,-1327.43195,745.6038500000001,-581.8280999999998,Brazil,Brazil,BRA
2002-02-01,-922.7842,194.16459999999998,-728.6196000000001,Brazil,Brazil,BRA
2002-01-01,1399.6749399999999,159.08098000000004,1558.7559199999998,Brazil,Brazil,BRA
2002-07-01,-1690.15569,-213.69973,-1903.85542,Brazil,Brazil,BRA
2002-06-01,-1174.1523599999998,-316.42711999999995,-1490.5794799999999,Brazil,Brazil,BRA
2002-03-01,936.69071,893.51907,1830.2097800000001,Brazil,Brazil,BRA
2002-05-01,-1161.4193528125,69.46350999999993,-1091.9558428125001,Brazil,Brazil,BRA
2002-11-01,-446.87409,241.39746999999994,-205.47662000000008,Brazil,Brazil,BRA
2002-10-01,-1283.13016,-239.75271999999995,-1522.88288,Brazil,Brazil,BRA
2002-09-01,-689.30128,-237.39075999999997,-926.69204,Brazil,Brazil,BRA
2003-04-01,-35.14122999999998,307.26409,272.12286000000006,Brazil,Brazil,BRA
2003-08-01,-1784.31803,281.08849,-1503.2295399999998,Brazil,Brazil,BRA
2003-12-01,-342.82034999999996,765.0990499999999,422.27869999999996,Brazil,Brazil,BRA
2003-02-01,416.30468,88.99556,505.30024000000003,Brazil,Brazil,BRA
2003-01-01,494.93764,126.22088000000005,621.1585200000001,Brazil,Brazil,BRA
2003-07-01,-332.40840000000003,111.74820000000003,-220.6602,Brazil,Brazil,BRA
2003-06-01,1499.3230600000002,139.21901999999997,1638.5420800000002,Brazil,Brazil,BRA
2003-03-01,28.71277000000002,-75.15291,-46.440139999999985,Brazil,Brazil,BRA
2003-05-01,952.5457700000001,51.995090000000054,1004.5408600000001,Brazil,Brazil,BRA
2003-11-01,-319.58137,393.58970999999997,74.00833999999998,Brazil,Brazil,BRA
2003-10-01,592.7058,389.71560000000005,982.4214,Brazil,Brazil,BRA
2003-09-01,985.8925899999999,392.82203,1378.71462,Brazil,Brazil,BRA
2004-04-01,-4729.92052,235.10216000000003,-4494.818359999999,Brazil,Brazil,BRA
2004-08-01,-277.99459,-250.87902999999997,-528.87362,Brazil,Brazil,BRA
2004-12-01,-553.10218,754.6239400000002,201.5217600000002,Brazil,Brazil,BRA
2004-02-01,346.55137,597.3352899999999,943.8866599999999,Brazil,Brazil,BRA
2004-01-01,2233.48127,405.17659,2638.6578600000003,Brazil,Brazil,BRA
2004-07-01,-172.54101000000006,-86.86916999999993,-259.41017999999997,Brazil,Brazil,BRA
2004-06-01,-245.69759999999997,-188.55819999999994,-434.2557999999999,Brazil,Brazil,BRA
2004-03-01,-949.8709699999999,-178.58449000000002,-1128.45546,Brazil,Brazil,BRA
2004-05-01,-625.8905500000001,-56.14234999999983,-682.0328999999999,Brazil,Brazil,BRA
2004-11-01,-1027.47577,728.14291,-299.33286,Brazil,Brazil,BRA
2004-10-01,-148.76256000000004,-84.30751999999995,-233.07008,Brazil,Brazil,BRA
2004-09-01,74.72358999999997,205.89303000000007,280.61662,Brazil,Brazil,BRA
2005-04-01,-1842.7448700000002,-452.5097900000002,-2295.2546600000005,Brazil,Brazil,BRA
2005-08-01,-923.9393275,142.20786999999976,-781.7314575000003,Brazil,Brazil,BRA
2005-12-01,363.35468999999995,1123.90373,1487.25842,Brazil,Brazil,BRA
2005-02-01,1863.33525,1401.1272499999998,3264.4624999999996,Brazil,Brazil,BRA
2005-01-01,181.83035999999998,262.64112,444.47148,Brazil,Brazil,BRA
2005-07-01,-3603.2727200000004,1320.11076,-2283.1619600000004,Brazil,Brazil,BRA
2005-06-01,1591.5625100000002,724.4196699999999,2315.98218,Brazil,Brazil,BRA
2005-03-01,1241.55937,899.3162900000002,2140.87566,Brazil,Brazil,BRA
2005-05-01,-1.2710300000000279,-324.58551,-325.85654000000005,Brazil,Brazil,BRA
2005-11-01,750.3030900000001,929.11253,1679.4156200000002,Brazil,Brazil,BRA
2005-10-01,-2045.6744300000003,-308.9033100000004,-2354.5777400000006,Brazil,Brazil,BRA
2005-09-01,2629.0331312499998,734.4116999999997,3363.4448312499994,Brazil,Brazil,BRA
2006-04-01,-5246.224692229685,-47.62084777031539,-5293.845540000001,Brazil,Brazil,BRA
