iso3,month,gprhc,gprc
ARG,1985-01-01,0.0578647889196873,0.0949585661292076
ARG,1985-02-01,0.0205803662538528,0.02772899530828
ARG,1985-03-01,0.0445871241390705,0.0813603475689888
ARG,1985-04-01,0.0353857055306435,0.0312109868973494
ARG,1985-05-01,0.0813735872507095,0.0721969529986382
ARG,1985-06-01,0.0252589043229818,0.0230822488665581
ARG,1985-07-01,0.00934142898768187,0.0255275703966618
ARG,1985-08-01,0.0277418158948422,0.0503313466906548
ARG,1985-09-01,0.0260620284825563,0.0396951399743557
ARG,1985-10-01,0.0574901439249516,0.0597014911472797
ARG,1985-11-01,0.0686577409505844,0.0468933172523975
ARG,1985-12-01,0.0253721252083778,0.0315208807587624
ARG,1986-01-01,0.0424808822572231,0.066285528242588
ARG,1986-02-01,0.084088571369648,0.0722412839531899
ARG,1986-03-01,0.0673627480864525,0.0572316236793995
ARG,1986-04-01,0.0783085376024246,0.0497966632246971
ARG,1986-05-01,0.0507657155394554,0.0490156039595604
ARG,1986-06-01,0.0520110949873924,0.0327278673648834
ARG,1986-07-01,0.0178731009364128,0.0429074056446552
ARG,1986-08-01,0.0435388348996639,0.066661112010479
ARG,1986-09-01,0.0345841273665428,0.0328272469341755
ARG,1986-10-01,0.0481734238564968,0.0531995743513107
ARG,1986-11-01,0.106846384704113,0.0795291885733604
ARG,1986-12-01,0.0599828623235226,0.0562520101666451
ARG,1987-01-01,0.027614139020443,0.0257317461073399
ARG,1987-02-01,0.0394438430666924,0.0343949906527996
ARG,1987-03-01,0.0344916805624962,0.0366501733660698
ARG,1987-04-01,0.134855702519417,0.133263811469078
ARG,1987-05-01,0.0523468852043152,0.0402183271944523
ARG,1987-06-01,0.0187108237296343,0.0177294481545687
ARG,1987-07-01,0.0370473265647888,0.0414348281919956
ARG,1987-08-01,0.0558711253106594,0.0420622527599335
ARG,1987-09-01,0.0815512835979462,0.0634554401040077
ARG,1987-10-01,0.0339875929057598,0.0384383052587509
ARG,1987-11-01,0.042502548545599,0.0341977775096893
ARG,1987-12-01,0.0173340272158384,0.0284543596208096
ARG,1988-01-01,0.0261483490467072,0.0461068525910378
ARG,1988-02-01,0.0364730544388294,0.0291834473609924
ARG,1988-03-01,0.0169966854155064,0.0216755177825689
ARG,1988-04-01,0.0445871241390705,0.0346720591187477
ARG,1988-05-01,0.033419668674469,0.0331693291664124
ARG,1988-06-01,0.0350262708961964,0.0394699759781361
ARG,1988-07-01,0.0367343202233315,0.036005761474371
ARG,1988-08-01,0.0184145104140043,0.0234521571546793
ARG,1988-09-01,0.0173295214772224,0.0277824085205793
ARG,1988-10-01,0.0418620221316814,0.0384573116898537
ARG,1988-11-01,0.00894934684038162,0.0173892881721258
ARG,1988-12-01,0.100217133760452,0.0903801620006561
ARG,1989-01-01,0.0441579073667526,0.0729269459843636
ARG,1989-02-01,0.0869145318865776,0.074270062148571
ARG,1989-03-01,0.0344619639217854,0.0282087437808514
ARG,1989-04-01,0.0349772647023201,0.0422029979526997
ARG,1989-05-01,0.0703915506601334,0.0789987966418266
ARG,1989-06-01,0.0180782787501812,0.0209960527718067
ARG,1989-07-01,0.0190276857465506,0.0178078524768353
ARG,1989-08-01,0.0374566912651062,0.0389323867857456
ARG,1989-09-01,0.0181785132735968,0.0212756898254156
ARG,1989-10-01,0.0165316574275494,0.0237416904419661
ARG,1989-11-01,0.0086715230718255,0.012338062748313
ARG,1989-12-01,0.0176087338477373,0.0207365620881319
ARG,1990-01-01,0.0173988696187735,0.0163873974233866
ARG,1990-02-01,0.00945358257740736,0.0133946510031819
ARG,1990-03-01,0.025440976023674,0.0233027804642916
ARG,1990-04-01,0.0178555492311716,0.0327600315213203
ARG,1990-05-01,0.0175423212349415,0.0119066517800093
ARG,1990-06-01,0,0.0124476160854101
ARG,1990-07-01,0.0282885432243347,0.0295757986605167
ARG,1990-08-01,0.102344624698162,0.099222756922245
ARG,1990-09-01,0.0623163878917694,0.0622742548584938
ARG,1990-10-01,0.0334560051560402,0.0273576434701681
ARG,1990-11-01,0.0175423212349415,0.0362844690680504
ARG,1990-12-01,0.109359338879585,0.12952809035778
ARG,1991-01-01,0.0349436551332474,0.0527190901339054
ARG,1991-02-01,0.00948856584727764,0.0535953566431999
ARG,1991-03-01,0.0337324999272823,0.0204666387289763
ARG,1991-04-01,0.00898069143295288,0.00401670951396227
ARG,1991-05-01,0.025768768042326,0.0187343098223209
ARG,1991-06-01,0.0180489122867584,0.0158761665225029
ARG,1991-07-01,0.0187388733029366,0.0206628646701574
ARG,1991-08-01,0.0282087437808514,0.0284356344491243
ARG,1991-09-01,0.0180733781307936,0.0198515113443136
ARG,1991-10-01,0.0435502119362354,0.0401298739016056
ARG,1991-11-01,0.0548045299947262,0.034731600433588
ARG,1991-12-01,0.0181603562086821,0.0316593460738659
ARG,1992-01-01,0.0453885272145271,0.0573284924030304
ARG,1992-02-01,0.112454317510128,0.0632161200046539
ARG,1992-03-01,0.0341763496398926,0.0729926973581314
ARG,1992-04-01,0.0723261907696724,0.0490862391889095
ARG,1992-05-01,0.0523788742721081,0.03718301653862
ARG,1992-06-01,0.0468735359609127,0.0269552152603865
ARG,1992-07-01,0,0.015137180685997
ARG,1992-08-01,0.0178380310535431,0.0116243027150631
ARG,1992-09-01,0.0274599548429251,0.0191923845559359
ARG,1992-10-01,0.0264014787971973,0.0179391503334045
ARG,1992-11-01,0.0717875063419342,0.0421133227646351
ARG,1992-12-01,0,0.00805834215134382
ARG,1993-01-01,0.053724929690361,0.0503108501434326
