date,GDP,date2,ex_rate,gdp_usd,date1,1. 经常账户,贷方,借方,1.A 货物和服务,贷方,借方,1.A.a 货物,贷方,借方,1.A.b 服务,贷方,借方,1.A.b.1 加工服务,贷方,借方,1.A.b.2 维护和维修服务,贷方,借方,1.A.b.3 运输,贷方,借方,1.A.b.4 旅行,贷方,借方,1.A.b.5 建设,贷方,借方,1.A.b.6 保险和养老金服务,贷方,借方,1.A.b.7 金融服务,贷方,借方,1.A.b.8 知识产权使用费,贷方,借方,1.A.b.9 电信、计算机和信息服务,贷方,借方,1.A.b.10 其他商业服务,贷方,借方,1.A.b.11 个人、文化和娱乐服务,贷方,借方,1.A.b.12 别处未提及的政府货物和服务,贷方,借方,1.B 初次收入,贷方,借方,1.B.1 雇员报酬,贷方,借方,1.B.2 投资收益,贷方,借方,1.B.3 其他初次收入,贷方,借方,1.C 二次收入,贷方,借方,1.C.1个人转移,贷方,借方,1.C.2 其他二次收入,贷方,借方,2. 资本和金融账户,2.1 资本账户,贷方,借方,2.2 金融账户,资产,负债,2.2.1 非储备性质的金融账户,资产,负债,2.2.1.1 直接投资,2.2.1.1.1 资产,2.2.1.1.1.1 股权,2.2.1.1.1.2 关联企业债务,2.2.1.1.1.a 金融部门,2.2.1.1.1.1.a 股权,2.2.1.1.1.2.a 关联企业债务,2.2.1.1.1.b 非金融部门,2.2.1.1.1.1.b 股权,2.2.1.1.1.2.b 关联企业债务,2.2.1.1.2负债,2.2.1.1.2.1 股权,2.2.1.1.2.2 关联企业债务,2.2.1.1.2.a 金融部门,2.2.1.1.2.1.a 股权,2.2.1.1.2.2.a 关联企业债务,2.2.1.1.2.b 非金融部门,2.2.1.1.2.1.b 股权,2.2.1.1.2.2.b 关联企业债务,2.2.1.2证券投资,2.2.1.2.1资产,2.2.1.2.1.1股权,2.2.1.2.1.2债券,2.2.1.2.2负债,2.2.1.2.2.1股权,2.2.1.2.2.2债券,2.2.1.3金融衍生工具,2.2.1.3.1资产,2.2.1.3.2负债,2.2.1.4其他投资,2.2.1.4.1资产,2.2.1.4.1.1其他股权,2.2.1.4.1.2货币和存款,2.2.1.4.1.3贷款,2.2.1.4.1.4保险和养老金,2.2.1.4.1.5贸易信贷,2.2.1.4.1.6其他,2.2.1.4.2负债,2.2.1.4.2.1其他股权,2.2.1.4.2.2货币和存款,2.2.1.4.2.3贷款,2.2.1.4.2.4保险和养老金,2.2.1.4.2.5贸易信贷,2.2.1.4.2.6其他,2.2.1.4.2.7特别提款权,2.2.2 储备资产,2.2.2.1 货币黄金,2.2.2.2 特别提款权,2.2.2.3 在国际货币基金组织的储备头寸,2.2.2.4 外汇储备,2.2.2.5 其他储备资产,3.净误差与遗漏
1998-03-31,18049.1,1998,8.2789,2180.13262631509,1998Q1,104.7116,432.90073267,-328.18913267,112.7126,421.79373267,-309.08113267,119.79834535,363.92707802,-244.12873267,-7.08574535,57.86665465,-64.9524,0.01642239,0.01642239,0,0,0,0,-13.5488,5.404,-18.9528,13.9323,28.1133,-14.181,-1.713,1.4918,-3.2048,-1.2195,2.4595,-3.679,-0.4109,0.0722,-0.4831,-0.9928,0.1211,-1.1139,0.325,1.5407,-1.2157,-3.02016774,18.49823226,-21.5184,0.0016,0.099,-0.0974,-0.4559,0.0504,-0.5063,-17.7304,0.5796,-18.31,0.1943,0.1943,0,-17.9247,0.3853,-18.31,0,0,0,9.7294,10.5274,-0.798,-,-,-,-,-,-,-54.2318,-0.0525,0,-0.0525,-54.1793,-109.8655,55.6862,-41.6093,-97.2955,55.6862,87.1246,-2.3001,-2.3001,0,-,-,-,-,-,-,89.4247,86.010995,3.413705,-,-,-,-,-,-,-2.1119,-2.8019,0,-2.8019,0.69,0.69,0,0,0,0,-126.622,-92.1935,0,38.9274,-2.3323,0,-138.1247,9.3361,-34.4285,0,-7.6,-19.1091,0,1.6411,-9.3605,0,-12.57,0,-0.24,-5.06,-7.27,0,-50.4798
1998-06-30,20296.6,1998.25,8.27896666666667,2451.58614802974,1998Q2,43.5928799999998,489.39446335,-445.80158335,130.82335,479.28634335,-348.46299335,134.83973249,421.72219584,-286.88246335,-4.01638249000001,57.56414751,-61.58053,0.17180829,0.17180829,0,0,0,0,-17.19061,4.43819,-21.6288,17.20771,31.5167,-14.30899,-1.49274,1.02518,-2.51792,-4.7227,0.1744,-4.8971,-0.49176,0.02925,-0.52101,-0.76121,0.11309,-0.8743,-0.79006,0.7586,-1.54866,4.95370922,19.25821922,-14.30451,-0.10979,0.01737,-0.12716,-0.79074,0.06134,-0.85208,-94.35285,2.0471,-96.39995,0.20526,0.20526,0,-94.55811,1.84184,-96.39995,0,0,0,7.12238,8.06102,-0.93864,-,-,-,-,-,-,-18.01512,-0.05402,0,-0.05402,-17.9611,-141.55923,123.59813,-18.5811,-142.17923,123.59813,97.60591,-12.61283,-4.61283,-8,-,-,-,-,-,-,110.21874,104.685929,5.532811,-,-,-,-,-,-,-10.14627,-11.30913,0,-11.30913,1.16286,5.54,-4.37714,0,0,0,-106.04074,-118.25727,0,8.24768,-4.81434,0,-114.89869,-6.79192,12.21653,0,9.3,43.54279,0,-59.16606,18.5398,0,0.619999999999999,0,0.48,-0.930000000000001,1.07,0,-25.5777599999998
1998-09-30,21775.6,1998.5,8.2793,2630.12573526747,1998Q3,52.53033,488.10797744,-435.57764744,109.07959,476.29565744,-367.21606744,141.68401494,420.56516033,-278.88114539,-32.60442494,55.73049711,-88.33492205,7.58789392,7.59365597,-0.00576205,0,0,0,-17.96643,5.87353,-23.83996,-8.42297000000001,31.87,-40.29297,-1.39048,1.24958,-2.64006,-3.69927,0.37012,-4.06939,-0.18377,0.12042,-0.30419,-0.75532,0.17452,-0.92984,-1.14068,0.45996,-1.60064,-6.38574886,7.97349114,-14.35924,-0.08237,0.01432,-0.09669,-0.16528,0.0309,-0.19618,-66.21797,1.16574,-67.38371,-0.86441,0.26198,-1.12639,-65.35356,0.90376,-66.25732,0,0,0,9.66871,10.64658,-0.97787,-,-,-,-,-,-,18.13893,0,0,0,18.13893,-26.78617,44.9251,28.72893,-16.19617,44.9251,107.791,2.66736,2.66736,0,-,-,-,-,-,-,105.12364,68.355094,36.768546,-,-,-,-,-,-,-5.96538,-1.77919,0,-1.77919,-4.18619,0.38,-4.56619,0,0,0,-73.09669,-17.08434,0,-25.1435,-14.61142,0,37.99236,-15.32178,-56.01235,0,-0.13,1.37141,0,-61.79066,4.5369,0,-10.59,0,-0.48,-4.14,-5.97,0,-70.66926
1998-12-31,25074.2,1998.75,8.2783,3028.90690117536,1998Q4,113.8794848,579.5486483,-465.6691635,85.7513548000003,510.1282083,-424.3768535,59.9469361100003,430.76863038,-370.82169427,25.80441869,79.35957792,-53.55515923,7.66272605,7.66926598,-0.00653993,0,0,0,4.08240480000001,7.2925041,-3.2100993,11.24596,34.5174,-23.27144,-0.65986,2.17465,-2.83451,-4.09564,0.840110000000001,-4.93575,-0.27823,0.04775,-0.32598,-1.06038,0.21815,-1.27853,5.72538,6.76484,-1.03946,3.70171784,19.78847784,-16.08676,-0.04606,0.02294,-0.069,-0.4736,0.02349,-0.49709,11.86416,52.04896,-40.1848,-0.60911,0.30373,-0.91284,12.47327,51.74523,-39.27196,0,0,0,16.26397,17.37148,-1.10751,-,-,-,-,-,-,-73.2415,-0.36182,0,-0.36182,-72.87968,-201.09511,128.21543,-31.15968,-159.37511,128.21543,118.65928,-14.0925,-3.0925,-11,-,-,-,-,-,-,132.75178,90.839013,41.912767,-,-,-,-,-,-,-18.97798,-22.40988,0,-22.40988,3.4319,1.04,2.3919,0,0,0,-130.84098,-122.87273,0,-15.64666,7.64458,0,-5.88732000000002,-108.98333,-7.96825000000002,0,-54.4464,-58.47691,0,119.31562,-14.36056,0,-41.72,0,-0.5,-2.7,-38.52,0,-40.6379848000003
1999-03-31,19361.9,1999,8.27893333333333,2338.69500096631,1999Q1,11.5330199999999,403.32686942,-391.79384942,41.7620899999999,380.61210942,-338.85001942,53.8308822099999,326.63227293,-272.80139072,-12.06879221,53.97983649,-66.0486287,6.74404648,6.84814518,-0.1040987,0,0,0,-9.67505,0.61887,-10.29392,6.12487,32.0053,-25.88043,-2.91586,1.40609,-4.32195,-2.83179,0.87764,-3.70943,0.33498,0.4951,-0.16012,-1.1689,0.23317,-1.40207,-0.13464,0.61566,-0.7503,-3.58207869,10.83443131,-14.41651,-0.07602,0.01094,-0.08696,-4.88835,0.03449,-4.92284,-38.51622,13.64541,-52.16163,-0.78155,0.31867,-1.10022,-37.73467,13.32674,-51.06141,0,0,0,8.28715,9.06935,-0.7822,-,-,-,-,-,-,5.58060000000001,-0.06552,0,-0.06552,5.64612000000001,-53.30796,58.95408,18.73662,-40.21746,58.95408,60.75959,-10.01542,-0.06646,-9.94896,-,-,-,-,-,-,70.77501,67.45499,3.32002,-,-,-,-,-,-,-35.49773,-31.56723,0,-31.56723,-3.9305,0,-3.9305,0,0,0,-6.52523999999998,1.36519000000002,0,44.58078,20.40774,0,-46.15147,-17.47186,-7.89043,0,-10.66424,2.2903,0,6.11911,-5.6356,0,-13.0905,0,-0.08,3.65,-16.6605,0,-17.1136199999999
1999-06-30,21567.7,1999.25,8.2787,2605.20371555921,1999Q2,5.03655999999995,483.92414964,-478.88758964,34.73607,457.16141964,-422.42534964,45.64514806,392.8330662,-347.18791814,-10.90907806,64.32835344,-75.2374315,9.09376025,9.19003175,-0.0962715,0,0,0,-16.75826,7.34375,-24.10201,12.09963,37.1247,-25.02507,-2.17023,1.86645,-4.03668,-4.48396,0.20472,-4.68868,0.01106,0.17835,-0.16729,-1.36674,0.14829,-1.51503,1.41972,2.67832,-1.2586,-8.36748831,5.55088169,-13.91837,-0.08425,0.01534,-0.09959,-0.302320000000001,0.02752,-0.329840000000001,-41.63518,13.91438,-55.54956,-0.71809,0.29089,-1.00898,-40.91709,13.62349,-54.54058,0,0,0,11.93567,12.84835,-0.91268,-,-,-,-,-,-,54.9429,-0.03972,0,-0.03972,54.98262,-53.03355,108.01617,55.69702,-52.31915,108.01617,107.99036,-1.22205,-1.08232,-0.13973,-,-,-,-,-,-,109.21241,68.97984,40.23257,-,-,-,-,-,-,2.20464,-3.65933,0,-3.65933,5.86397,2.77621,3.08776,0,0,0,-54.49798,-47.43777,0,36.24491,-8.95989,0,-51.71464,-23.00815,-7.06020999999999,0,-27.47749,-20.68223,0,51.88638,-10.78687,0,-0.7144,0,-0.18,3.72,-4.2544,0,-59.97946
1999-09-30,23050.8,1999.5,8.2774,2784.78749365743,1999Q3,100.56828,585.44257261,-484.87429261,113.09105,541.82951261,-428.73846261,124.97082787,470.72669064,-345.75586277,-11.87977787,71.10282197,-82.98259984,10.30632562,10.48739546,-0.18106984,0,0,0,-13.41615,7.4617,-20.87785,4.1092,33.95,-29.8408,1.20346,4.75164,-3.54818,-4.24117,0.60292,-4.84409,-0.12702,0.04089,-0.16791,-2.15297,0.17311,-2.32608,1.84449,2.86249,-1.018,-9.12536349,10.54898651,-19.67435,-0.0463299999999999,0.02269,-0.0690199999999999,-0.234249999999999,0.201,-0.435249999999999,-40.58153,14.25387,-54.8354,-1.77049,0.34929,-2.11978,-38.81104,13.90458,-52.71562,0,0,0,28.05876,29.35919,-1.30043,-,-,-,-,-,-,-60.1941500000001,-0.06262,0,-0.06262,-60.1315300000001,-202.75204,142.62051,-17.7534300000001,-160.37394,142.62051,99.64517,-0.37326,-0.27098,-0.10228,-,-,-,-,-,-,100.01843,71.70982,28.30861,-,-,-,-,-,-,-5.877,-6.07305,0,-6.07305,0.19605,1.97379,-1.77774,0,0,0,-111.5216,-153.92763,0,-29.28727,-17.87109,0,-95.63653,-11.13274,42.40603,0,10.0694,4.62667,0,36.18637,-8.47641,0,-42.3781,0,-0.28,2.51,-44.6081,0,-40.3741300000001
1999-12-31,26583.9,1999.75,8.27873333333333,3211.1071742054,1999Q4,94.0035236658534,651.27317468,-557.269651014146,116.820343665854,607.39095468,-490.570611014146,104.787305635854,503.10030412,-398.312998484146,12.03303803,104.29065056,-92.25761253,11.05849787,11.32723979,-0.26874192,0,0,0,-14.9281236,8.77687,-23.7049936,10.006,37.9045,-27.8985,-1.66315,1.8281,-3.49125,-5.6146309,0.35394,-5.9685709,-0.78011,0.39313,-1.17324,-2.4822,0.19085,-2.67305,1.24953,2.39336,-1.14383,15.21366466,40.53572077,-25.32205611,-0.0664100000000001,0.01758,-0.0839900000000001,0.0399699999999997,0.56936,-0.52939,-23.96989,41.4866,-65.45649,-0.499670000000001,0.49768,-0.997350000000001,-23.47022,40.98892,-64.45914,0,0,0,1.15307,2.39562,-1.24255,-,-,-,-,-,-,-33.5873990000001,-0.08739,0,-0.08739,-33.5000090000001,-143.004285,109.504276,-4.62980900000007,-114.134085,109.504276,101.38625,-6.1324,-1.32539,-4.80701,-,-,-,-,-,-,107.51865,81.550024,25.968626,-,-,-,-,-,-,-73.165668,-64.04901,0,-64.04901,-9.116658,1.37,-10.486658,0,0,0,-32.850391,-43.952675,0,61.16763,-27.9402,0,-35.47907,-41.701035,11.102284,0,-11.2465,8.292836,0,38.47499,-24.419042,0,-28.8702,0,0.13,2.64,-31.6402,0,-60.4161246658534
2000-03-31,21329.9,2000,8.27833333333333,2576.59351721361,2000Q1,36.5222705250002,558.382481395,-521.86021087,53.3810550000002,525.38400587,-472.00295087,61.7457657600002,449.79508844,-388.04932268,-8.36471076000001,75.58891743,-83.95362819,10.02590263,10.03707932,-0.01117669,0,0,0,-13.5347012,7.66716,-21.2018612,3.007635,36.07,-33.062365,-0.25368,2.60412,-2.8578,-4.7296853,0.3141,-5.0437853,-0.0819,0.02139,-0.10329,-2.80958,0.15842,-2.968,1.09848,2.14401,-1.04553,-1.27498189,16.06275811,-17.33774,-0.03311,0.02976,-0.06287,0.22091,0.48012,-0.25921,-31.121214475,17.521305525,-48.64252,-0.876,0.4461,-1.3221,-30.245214475,17.075205525,-47.32042,0,0,0,14.26243,15.47717,-1.21474,-,-,-,-,-,-,-37.877305525,-0.25525,0,-0.25525,-37.622055525,-160.070795525,122.44874,-17.215055525,-139.663795525,122.44874,65.40189,-0.99118,-1.26593,0.27475,-,-,-,-,-,-,66.39307,62.301798,4.09127199999999,-,-,-,-,-,-,2.92932,3.62932,0,3.62932,-0.7,0,-0.7,0,0,0,-85.546265525,-142.301935525,0,-81.45572,-28.34265,0,-47.13504,14.631474475,56.75567,0,-0.02571,6.47088,0,57.82293,-7.51243,0,-20.407,0,0,1.04,-21.447,0,1.35503499999985
2000-06-30,24043.4,2000.25,8.27846666666667,2904.33010944056,2000Q2,26.5572782590001,663.135224739,-636.57794648,73.7733659590001,626.956581439,-553.18321548,84.4031507300001,547.95623301,-463.55308228,-10.629784771,79.000348429,-89.6301332,11.54508737,11.55674507,-0.0116577,0,0,0,-17.4858336,8.3167,-25.8025336,8.676689,42.4,-33.723311,-0.57067,1.53849,-2.10916,-5.9203359,0.48575,-6.4060859,-0.06636,0.05637,-0.12273,-1.953,0.16416,-2.11716,1.21885,2.16627,-0.94742,-6.178791641,11.581493359,-17.760285,-0.06699,0.03569,-0.10268,0.17157,0.69868,-0.52711,-61.6780077,20.6630433,-82.341051,-0.89295,0.46112,-1.35407,-60.7850577,20.2019233,-80.986981,0,0,0,14.46192,15.5156,-1.05368,-,-,-,-,-,-,12.5477177,0.07917,0.07917,0,12.4685477,-203.8339933,216.302541,25.7374477,-190.5650933,216.302541,98.68884,1.40136,-1.89451,3.29587,-,-,-,-,-,-,97.28748,92.684803,4.60267699999999,-,-,-,-,-,-,33.36492,-1.16108,0,-1.16108,34.526,32.63,1.896,0,0,0,-106.3163123,-190.8053733,0,-46.06813,-22.08182,0,-83.51843,-39.1369933,84.489061,0,-0.389962,-0.177543999999993,0,95.79806,-10.741493,0,-13.2689,0,-0.55,4.76,-17.4789,0,-39.1049959590001
