中文名称,country,iso3,iso2,date,Debt,Equity,Total
巴西,Brazil,BRA,BR,1996-12,2871.623,654.468,3526.091
新兴市场,,,,1996-12,5139.22009243371,1047.874239099295,6187.094331533006
韩国,Korea (Republic of),KOR,KR,1996-12,1722.6,278.6,2001.2
墨西哥,Mexico,MEX,MX,1996-12,317.0,,
南非,South Africa,ZAF,ZA,1996-12,113.9970924337101,107.8062390992951,221.8033315330052
土耳其,Türkiye,TUR,TR,1996-12,114.0,7.0,121.0
巴西,Brazil,BRA,BR,1996-02,1040.809,638.628,1679.437
新兴市场,,,,1996-02,1825.127086955129,1269.848604793824,3094.975691748952
韩国,Korea (Republic of),KOR,KR,1996-02,766.4,283.3,1049.7
墨西哥,Mexico,MEX,MX,1996-02,-643.6,,
南非,South Africa,ZAF,ZA,1996-02,303.5180869551286,305.9206047938235,609.4386917489521
土耳其,Türkiye,TUR,TR,1996-02,358.0,42.0,400.0
巴西,Brazil,BRA,BR,1996-01,620.334,1405.835,2026.169
新兴市场,,,,1996-01,1569.687126613285,1777.095727584276,3346.78285419756
韩国,Korea (Republic of),KOR,KR,1996-01,109.0,109.9,218.9
墨西哥,Mexico,MEX,MX,1996-01,308.0,,
南非,South Africa,ZAF,ZA,1996-01,411.3531266132848,199.3607275842755,610.7138541975603
土耳其,Türkiye,TUR,TR,1996-01,121.0,62.0,183.0
巴西,Brazil,BRA,BR,1996-07,1438.455,-57.329,1381.126
新兴市场,,,,1996-07,2504.387031726663,707.0775128900949,3211.464544616758
韩国,Korea (Republic of),KOR,KR,1996-07,1197.5,592.8,1790.3
墨西哥,Mexico,MEX,MX,1996-07,-18.1,,
南非,South Africa,ZAF,ZA,1996-07,152.5320317266626,169.6065128900949,322.1385446167575
土耳其,Türkiye,TUR,TR,1996-07,-266.0,2.0,-264.0
巴西,Brazil,BRA,BR,1996-06,1993.361,-219.431,1773.93
新兴市场,,,,1996-06,4280.127770061462,450.9733425814231,4731.101112642885
韩国,Korea (Republic of),KOR,KR,1996-06,1672.8,399.8,2072.6
墨西哥,Mexico,MEX,MX,1996-06,-180.5,,
南非,South Africa,ZAF,ZA,1996-06,386.4667700614621,231.6043425814232,618.0711126428853
土耳其,Türkiye,TUR,TR,1996-06,408.0,39.0,447.0
巴西,Brazil,BRA,BR,1996-03,874.927,-114.203,760.724
新兴市场,,,,1996-03,2256.535736998892,442.1013704090336,2698.637107407926
韩国,Korea (Republic of),KOR,KR,1996-03,1423.6,446.6,1870.2
墨西哥,Mexico,MEX,MX,1996-03,-3.7,,
南非,South Africa,ZAF,ZA,1996-03,-71.29126300110752,121.7043704090336,50.41310740792603
土耳其,Türkiye,TUR,TR,1996-03,33.0,-12.0,21.0
巴西,Brazil,BRA,BR,1996-05,1724.999,649.341,2374.34
新兴市场,,,,1996-05,3100.040841118932,1301.363515769266,4401.404356888197
韩国,Korea (Republic of),KOR,KR,1996-05,1417.4,486.7,1904.1
墨西哥,Mexico,MEX,MX,1996-05,-232.1,,
南非,South Africa,ZAF,ZA,1996-05,215.741841118932,148.3225157692657,364.0643568881977
土耳其,Türkiye,TUR,TR,1996-05,-26.0,17.0,-9.0
巴西,Brazil,BRA,BR,1996-11,2476.567,610.683,3087.25
新兴市场,,,,1996-11,5854.027001675773,879.6545260485932,6733.681527724366
韩国,Korea (Republic of),KOR,KR,1996-11,2449.5,232.8,2682.3
墨西哥,Mexico,MEX,MX,1996-11,809.5,,
南非,South Africa,ZAF,ZA,1996-11,177.4600016757727,66.1715260485932,243.6315277243659
土耳其,Türkiye,TUR,TR,1996-11,-59.0,-30.0,-89.0
巴西,Brazil,BRA,BR,1996-10,1192.038,665.298,1857.336
新兴市场,,,,1996-10,2092.566928364634,1294.881423464762,3387.448351829396
韩国,Korea (Republic of),KOR,KR,1996-10,953.0,910.5,1863.5
墨西哥,Mexico,MEX,MX,1996-10,310.8,,
南非,South Africa,ZAF,ZA,1996-10,-36.27107163536643,-291.9165765352383,-328.1876481706047
土耳其,Türkiye,TUR,TR,1996-10,-327.0,11.0,-316.0
巴西,Brazil,BRA,BR,1996-09,286.699,651.107,937.806
新兴市场,,,,1996-09,1796.134889314886,1040.390447241207,2836.525336556092
韩国,Korea (Republic of),KOR,KR,1996-09,1267.1,263.6,1530.7
墨西哥,Mexico,MEX,MX,1996-09,-281.0,,
南非,South Africa,ZAF,ZA,1996-09,15.33588931488583,100.683447241207,116.0193365560928
土耳其,Türkiye,TUR,TR,1996-09,508.0,25.0,533.0
巴西,Brazil,BRA,BR,1997-04,451.566,456.826,908.392
新兴市场,,,,1997-04,2681.984722234141,1127.84489045587,3809.829612690011
印度,India,IND,IN,1997-04,23.31161770063692,140.0651329390365,163.3767506396734
韩国,Korea (Republic of),KOR,KR,1997-04,1129.8,-122.2,1007.6
墨西哥,Mexico,MEX,MX,1997-04,252.6,,
南非,South Africa,ZAF,ZA,1997-04,1053.707104533505,630.1537575168331,1683.860862050338
土耳其,Türkiye,TUR,TR,1997-04,-229.0,23.0,-206.0
