date,xh_initial,qh_initial,R_b,xh_short,xh_mid,xh_long,qh_short,qh_mid,qh_long
2010-04-19,-0.0536031915812807,-0.0638833587071085,4e-05,-0.0259611664441066,-1.92157388008176e-05,-0.00243989558556065,-0.0330368766638953,-0.00179171771399615,-0.00443454361889411
2010-04-20,-0.00096020047726697,0.00537937073872508,4.16438356164384e-05,0.0203347444772222,0.00373373143350171,-0.00124158459548392,0.0283613865576773,0.00287697566785629,-0.00271822126524716
2010-04-21,0.0199503997327761,0.0163628445218689,4.27397260273973e-05,0.0346455819247274,0.00762814997516744,2.92859396833341e-05,0.0305442073242237,0.00845945030733255,-0.000995561939758938
2010-04-22,-0.0108568038854628,-0.00948824681684624,4.27397260273973e-05,-0.00185656745800538,0.0105962320578912,0.00128814885440353,-0.00324824297532632,0.0132431725477483,0.000654003494185562
2010-04-23,-0.0036045153269989,-0.0046350658179346,4.6027397260274e-05,0.00163445460033198,0.0116988071649415,0.00245043698313904,-0.00395205341124638,0.0157860161102777,0.00215104417320135
2010-04-26,-0.00564263322884018,-0.000496709300881637,4.02739726027397e-05,-0.00187558233748636,0.01066505734858,0.00343642465790002,-0.00264864791612111,0.0158282685026452,0.00342111603069273
2010-04-27,-0.0200472887767971,-0.0250962852528264,4.10958904109589e-05,-0.0158703578500495,0.00796358526771215,0.00419018219661385,-0.0277169532556727,0.0137795665783318,0.00441391731979166
2010-04-28,-0.00355808918385925,-0.00312221231043719,4.49315068493151e-05,0.00234432763662745,0.00419527412654608,0.00468214419215203,-0.00430697791705904,0.0101282734580199,0.00510619109833489
2010-04-29,-0.0120393239382053,-0.0144455097475231,4.16438356164384e-05,-0.00366200857865958,-6.15833916011613e-05,0.00490533575827705,-0.0127513310245788,0.00533506680684956,0.0055023658797018
2010-04-30,0.00238557413906926,0.0075231856800051,4.38356164383562e-05,0.0134210074699684,-0.00424615941943871,0.00487024682477763,0.0130808635110796,-0.000157704446978543,0.00562209621849897
2010-05-04,-0.0156192947681395,-0.00984872867718056,4.6027397260274e-05,-0.00225895919012927,-0.00785795231774387,0.00459793549302202,0.000107724884755531,-0.00592093434014272,0.00548907063526716
2010-05-05,0.00561029326532969,0,4.57534246575342e-05,0.0206816936114824,-0.0106347193782072,0.00411190539348109,0.0143499083427767,-0.0114344079987207,0.00512718815686607
2010-05-06,-0.0459525950223785,-0.0354310232739565,4.57534246575342e-05,-0.0298677063818653,-0.0125110198365795,0.00343557934077317,-0.0175632403651003,-0.0158481947549208,0.00456029370827396
2010-05-07,-0.0207362454519722,-0.0235222753925997,4.57534246575342e-05,-0.00438240280983776,-0.0134581338271496,0.00259231987219838,-0.00383140260037558,-0.0183634187377412,0.00381223221446912
2010-05-10,0.00755783826085121,0.00704030922142462,4.38356164383562e-05,0.0233891427929103,-0.0134473414842059,0.00160548952505687,0.0266459356977883,-0.0187868570276137,0.00290684860042981
2010-05-11,-0.0200858573312854,-0.0398903358464702,4.52054794520548e-05,-0.0056324448429732,-0.0124330189390199,0.000498450836648773,-0.0220592782031443,-0.0173578519035379,0.00186798779113429
2010-05-12,0.00619104405138482,0.012350085665334,4.38356164383562e-05,0.0183500253326784,-0.0103722189152371,-0.000705525956975708,0.0270112394966851,-0.0143907195007025,0.000719494711560874
2010-05-13,0.0243953501575496,0.020590931528101,3.97260273972603e-05,0.0335785529662504,-0.00751837126380126,-0.00198367545817941,0.0310309864287722,-0.0102499282762882,-0.000514785713312189
2010-05-14,-0.00654332833375471,-0.0110550680577627,4.71232876712329e-05,-0.000590665920881165,-0.00431629928029795,-0.00331400322666392,-0.00537399731664075,-0.00546911671707931,-0.00181104033221774
2010-05-17,-0.0534515101010454,-0.0501641864039684,3.97260273972603e-05,-0.0505652402043417,-0.00120315072086521,-0.00467533793441042,-0.0493248115985778,-0.000522744433179999,-0.00314671866838384
2010-05-18,0.0208603465550776,0.0336152997425525,4.87671232876712e-05,0.0211661678138713,0.00148208817000376,-0.00604836812191209,0.0300238741276013,0.00408009975730722,-0.00450357434429911
2010-05-19,-0.00331246504411198,-0.00910902362652999,3.94520547945205e-05,-0.00498216654122249,0.0036071849870087,-0.00741833620757207,-0.01620927858055,0.00781334591808719,-0.00586442139185135
2010-05-20,-0.0130875362486741,-0.00775639184142496,4.65753424657534e-05,-0.0160569515616096,0.00508855995562408,-0.00877141780863181,-0.0169324294873573,0.0101545752294673,-0.00721628922508295
2010-05-21,0.0156895400620685,0.0136797915460336,4.79452054794521e-05,0.0121671029314607,0.00584487428407009,-0.0100963718159333,0.00421393761695,0.0107423362527756,-0.00854952058181307
2010-05-24,0.0378071287457697,0.0360585505176723,3.94520547945205e-05,0.0345136496361918,0.00583307540381782,-0.0113850190307756,0.0278091432586863,0.00984990068515578,-0.00985715039847954
2010-05-25,-0.0207171120631152,-0.0305995864920745,4.87671232876712e-05,-0.0231180044560288,0.00516604321727984,-0.0126318116136156,-0.0365641433875053,0.00791095202579275,-0.0111348238897365
2010-05-26,0,0.00938433101094849,4.10958904109589e-05,-0.0010436557952934,0.00403936899726719,-0.013833354567161,0.00633516891273941,0.00536079820705395,-0.0123800626082551
2010-05-27,0.0163614007405986,0.021763628680096,3.94520547945205e-05,0.0169293944956813,0.00266144576336807,-0.014987868548692,0.0218225465529838,0.00263493946290425,-0.0135906923004276
2010-05-28,-0.0033846390534199,-0.0124767353691322,3.97260273972603e-05,-0.00116081972340539,0.00124130307086068,-0.0160944988364477,-0.0095294783787662,0.000143412755804223,-0.0147647503201562
