month,ID,GPRC,GPRHC
1985-01-01T00:00:00Z,ARG,0.0949585661292076,0.0578647889196873
1985-01-01T00:00:00Z,AUS,0.0604281760752201,0.0289323944598436
1985-01-01T00:00:00Z,BEL,0.164019331336021,0.212170898914337
1985-01-01T00:00:00Z,BRA,0.0517955794930458,0.048220656812191
1985-01-01T00:00:00Z,CAN,0.405732035636902,0.135017842054367
1985-01-01T00:00:00Z,CHE,0.112223759293556,0.106085449457169
1985-01-01T00:00:00Z,CHL,0.0258977897465229,0.0289323944598436
1985-01-01T00:00:00Z,CHN,0.284875690937042,0.192882627248764
1985-01-01T00:00:00Z,COL,0.0345303863286972,0.048220656812191
1985-01-01T00:00:00Z,DEU,0.267610490322113,0.35683286190033
1985-01-01T00:00:00Z,DNK,0.0172651931643486,0.00964413117617369
1985-01-01T00:00:00Z,EGY,0.077693372964859,0.096441313624382
1985-01-01T00:00:00Z,ESP,0.077693372964859,0.0675089210271835
1985-01-01T00:00:00Z,FIN,0.0949585661292076,0.096441313624382
1985-01-01T00:00:00Z,FRA,0.371201664209366,0.337544590234756
1985-01-01T00:00:00Z,GBR,0.500690579414368,0.376121133565903
1985-01-01T00:00:00Z,HKG,0.0086325965821743,0.00964413117617369
1985-01-01T00:00:00Z,HUN,0.0604281760752201,0.0771530494093895
1985-01-01T00:00:00Z,IDN,0.0086325965821743,0.00964413117617369
1985-01-01T00:00:00Z,IND,0.172651931643486,0.183238506317139
1985-01-01T00:00:00Z,ISR,0.362569063901901,0.347188740968704
1985-01-01T00:00:00Z,ITA,0.077693372964859,0.115729577839375
1985-01-01T00:00:00Z,JPN,0.129488945007324,0.135017842054367
1985-01-01T00:00:00Z,KOR,0.103591158986092,0.106085449457169
1985-01-01T00:00:00Z,MEX,0.0690607726573944,0.0675089210271835
1985-01-01T00:00:00Z,MYS,0.0086325965821743,0
1985-01-01T00:00:00Z,NLD,0.112223759293556,0.144661977887154
1985-01-01T00:00:00Z,NOR,0.077693372964859,0.0771530494093895
1985-01-01T00:00:00Z,PER,0.0431629829108715,0.048220656812191
1985-01-01T00:00:00Z,PHL,0.0345303863286972,0.0867971852421761
1985-01-01T00:00:00Z,POL,0.0949585661292076,0.0771530494093895
1985-01-01T00:00:00Z,PRT,0.0604281760752201,0.0867971852421761
1985-01-01T00:00:00Z,RUS,1.40711331367493,1.35982251167297
1985-01-01T00:00:00Z,SAU,0.0517955794930458,0.048220656812191
1985-01-01T00:00:00Z,SWE,0.077693372964859,0.0578647889196873
1985-01-01T00:00:00Z,THA,0.250345289707184,0.260391563177109
1985-01-01T00:00:00Z,TUN,0.0086325965821743,0
1985-01-01T00:00:00Z,TUR,0.0517955794930458,0.0289323944598436
1985-01-01T00:00:00Z,TWN,0.0258977897465229,0.0385765247046948
1985-01-01T00:00:00Z,UKR,0.0086325965821743,0.00964413117617369
1985-01-01T00:00:00Z,USA,2.57251381874084,2.94146013259888
1985-01-01T00:00:00Z,VEN,0.0086325965821743,0
1985-01-01T00:00:00Z,VNM,0.362569063901901,0.405053526163101
1985-01-01T00:00:00Z,ZAF,0.164019331336021,0.221815019845963
1985-02-01T00:00:00Z,ARG,0.02772899530828,0.0205803662538528
1985-02-01T00:00:00Z,AUS,0.351233929395676,0.267544776201248
1985-02-01T00:00:00Z,BEL,0.175616964697838,0.246964395046234
1985-02-01T00:00:00Z,BRA,0.0184859968721867,0.0308705493807793
1985-02-01T00:00:00Z,CAN,0.452906936407089,0.072031281888485
1985-02-01T00:00:00Z,CHE,0.05545799061656,0.0102901831269264
1985-02-01T00:00:00Z,CHL,0.0647009909152985,0.0514509156346321
1985-02-01T00:00:00Z,CHN,0.175616964697838,0.205803662538528
1985-02-01T00:00:00Z,COL,0.05545799061656,0.0926116481423378
1985-02-01T00:00:00Z,DEU,0.499121904373169,0.524799346923828
1985-02-01T00:00:00Z,DNK,0.0369719937443733,0.0411607325077057
1985-02-01T00:00:00Z,EGY,0.11091598123312,0.113192014396191
1985-02-01T00:00:00Z,ESP,0.092429980635643,0.164642930030823
1985-02-01T00:00:00Z,FIN,0.05545799061656,0.0205803662538528
1985-02-01T00:00:00Z,FRA,0.573065876960754,0.60712081193924
1985-02-01T00:00:00Z,GBR,0.545336902141571,0.54537969827652
1985-02-01T00:00:00Z,HKG,0.0462149903178215,0.0308705493807793
1985-02-01T00:00:00Z,HUN,0.00924299843609333,0.0102901831269264
1985-02-01T00:00:00Z,IDN,0.05545799061656,0.0514509156346321
1985-02-01T00:00:00Z,IND,0.11091598123312,0.17493312060833
1985-02-01T00:00:00Z,ISR,0.628523886203766,0.60712081193924
1985-02-01T00:00:00Z,ITA,0.175616964697838,0.216093853116035
1985-02-01T00:00:00Z,JPN,0.249560952186584,0.216093853116035
1985-02-01T00:00:00Z,KOR,0.120158977806568,0.17493312060833
1985-02-01T00:00:00Z,MEX,0.092429980635643,0.14406256377697
1985-02-01T00:00:00Z,MYS,0.0462149903178215,0.0411607325077057
1985-02-01T00:00:00Z,NLD,0.092429980635643,0.0926116481423378
1985-02-01T00:00:00Z,NOR,0.05545799061656,0.0514509156346321
1985-02-01T00:00:00Z,PER,0.0647009909152985,0.102901831269264
1985-02-01T00:00:00Z,PHL,0.092429980635643,0.102901831269264
1985-02-01T00:00:00Z,POL,0.175616964697838,0.133772388100624
1985-02-01T00:00:00Z,PRT,0.101672984659672,0.14406256377697
1985-02-01T00:00:00Z,RUS,1.36796379089355,1.51265692710876
1985-02-01T00:00:00Z,SAU,0.120158977806568,0.113192014396191
