,时间,国内生产总值,国内生产总值(不变价),国内生产总值环比增长速度(%),国内生产总值贡献率
2019-06-30,2019年第二季度,241502.6,218190.6,1.4,100.0
2019-09-30,2019年第三季度,251046.3,227683.6,1.4,100.0
2019-12-31,2019年第四季度,276798.0,247627.8,1.3,100.0
2020-03-31,2020年第一季度,205244.8,183177.8,-10.4,100.0
2020-06-30,2020年第二季度,248347.7,224846.8,11.4,100.0
2020-09-30,2020年第三季度,264355.7,238702.1,3.4,100.0
2020-12-31,2020年第四季度,295618.8,263508.9,2.7,100.0
2021-03-31,2021年第一季度,249200.2,245513.7,0.5,100.0
2021-06-30,2021年第二季度,282849.2,268481.9,1.4,100.0
2021-09-30,2021年第三季度,291288.1,278521.0,0.6,100.0
2021-12-31,2021年第四季度,325899.4,306681.3,1.8,100.0
2022-03-31,2022年第一季度,270344.5,257258.4,0.4,100.0
2022-06-30,2022年第二季度,292446.7,269541.3,-2.1,100.0
2022-09-30,2022年第三季度,307942.1,289404.8,4.0,100.0
2022-12-31,2022年第四季度,333990.7,315427.1,0.8,100.0
2023-03-31,2023年第一季度,284423.0,268963.4,1.8,100.0
2023-06-30,2023年第二季度,308292.6,286619.6,0.7,100.0
2023-09-30,2023年第三季度,319976.3,303470.3,1.5,100.0
2023-12-31,2023年第四季度,347890.1,331984.0,1.3,100.0
2024-03-31,2024年第一季度,296299.5,283125.1,1.5,100.0
2024-06-30,2024年第二季度,320536.5,300043.0,0.5,100.0
2024-09-30,2024年第三季度,332909.8,317451.3,0.9,100.0
